id_photo;name;Title ;Author ;Source 
71;станция_Москва-Октябрьская-1.webp;Памятник Ленину (станция Москва-Октябрьская);Telli A. ;https://yandex.ru/maps/-/CPxN7A7a
72;станция_Москва-Октябрьская-2.webp;Памятник Ленину (станция Москва-Октябрьская);Telli A. ;https://yandex.ru/maps/-/CPxNz2i6
73;Тверская_площадь-1.webp;Памятник Ленину (Тверская площадь);Михаил Цветов;https://yandex.ru/maps/-/CPthvTkN
74;Тверская_площадь-2.webp;Памятник Ленину (Тверская площадь);Павел Г.;https://yandex.ru/maps/-/CPthv2Pz
75;улица_1-я_Карачаровская_10-1.webp;Памятник Ленину (улица 1-я Карачаровская 10);um.mos.ru;https://yandex.ru/maps/-/CPthzA34
76;улица_1-я_Карачаровская_10-2.webp;Памятник Ленину (улица 1-я Карачаровская 10);um.mos.ru;https://yandex.ru/maps/-/CPthzA34
77;улица_1-я_Курьяновская_35-1.webp;Памятник Ленину (улица 1-я Курьяновская 35);Telli A.;https://yandex.ru/maps/-/CPthzUJ3
78;улица_1-я_Курьяновская_35-2.webp;Памятник Ленину (улица 1-я Курьяновская 35);Роман Ермаков;https://yandex.ru/maps/-/CPthz47J
79;улица_1905_года-1.webp;Памятник Ленину (улица 1905 года);Павел Дергачев;https://yandex.ru/maps/-/CPthzF2k
81;улица_3-я_Рыбинская__17-1.webp;Памятник Ленину (улица 3-я Рыбинская 17);Яндекс;https://yandex.ru/maps/-/CPthzZkp
82;улица_3-я_Рыбинская__17-2.webp;Памятник Ленину (улица 3-я Рыбинская 17);Яндекс;https://yandex.ru/maps/-/CPthzZkp
83;улица_Авиамоторная__2-1.webp;Памятник Ленину (улица Авиамоторная 2);SERP MOLOT;https://yandex.ru/maps/-/CPthzOyw
84;улица_Авиамоторная__28-1.webp;Памятник Ленину (улица Авиамоторная 28);Инкогнито 3032;https://yandex.ru/maps/-/CPthzWNY
85;улица_Авиамоторная__28-2.webp;Памятник Ленину (улица Авиамоторная 28);Инкогнито 3032;https://yandex.ru/maps/-/CPthzWNY
86;улица_Автозаводская__10-1.webp;Памятник Ленину (улица Автозаводская 10);Andrey Chumarkov;https://yandex.ru/maps/-/CPthzHo-
87;улица_Автозаводская__10-2.webp;Памятник Ленину (улица Автозаводская 10);Andrey Chumarkov;https://yandex.ru/maps/-/CPthzHo-
88;улица_Александра_Лукьянова_7-1.webp;Памятник Ленину (улица Александра Лукьянова 7);Алексей Фролов;https://yandex.ru/maps/-/CPthz-4K
89;улица_Александра_Лукьянова_7-2.webp;Памятник Ленину (улица Александра Лукьянова 7);Andrey Chumarkov;https://yandex.ru/maps/-/CPth7A-2
90;улица_Большая_Семёновская_11-1.webp;Памятник Ленину (улица Большая Семёновская 11);Игорь Владимирович;https://yandex.ru/maps/-/CPth7My9
91;улица_Большая_Семёновская_11-2.webp;Памятник Ленину (улица Большая Семёновская 11);‘bäR;https://yandex.ru/maps/-/CPth7UYC
92;улица_Буракова-1.webp;Памятник Ленину (улица Буракова);Sergey Olshin;https://yandex.ru/maps/-/CPth74yN
93;улица_Буракова-2.webp;Памятник Ленину (улица Буракова);Sergey Olshin;https://yandex.ru/maps/-/CPth74yN
94;улица_Введенского__1-1.webp;Памятник Ленину (улица Введенского 1);Яндекс Карты;https://yandex.ru/maps/-/CPth7R5p
95;улица_Введенского__1-2.webp;Памятник Ленину (улица Введенского 1);Gdymjg;https://yandex.ru/maps/-/CPth7ZNb
96;улица_Годовикова__9-1.webp;Памятник Ленину (улица Годовикова 9);Correct Vision;https://yandex.ru/maps/-/CPth7CLG
97;улица_Годовикова__9-2.webp;Памятник Ленину (улица Годовикова 9);Дмитрий А.;https://yandex.ru/maps/-/CPth7K10
98;улица_Горбунова__2-1.webp;Памятник Ленину (улица Горбунова 2);Галактион К.;https://yandex.ru/maps/-/CPth7Wis
99;улица_Грузинский_вал__26-1.webp;Памятник Ленину (улица Грузинский вал 26);Анна Д.;https://yandex.ru/maps/-/CPth78OS
100;улица_Грузинский_вал__26-2.webp;Памятник Ленину (улица Грузинский вал 26);Andrey Chumarkov;https://yandex.ru/maps/-/CPth7H3F
101;улица_Докукина__10-1.webp;Памятник Ленину (улица Докукина 10);Сергей Ю.;https://yandex.ru/maps/-/CPth7T7s
102;улица_Кедрова__6-1.webp;Памятник Ленину (улица Кедрова 6);Vanber;https://yandex.ru/maps/-/CPth72pw
103;улица_Кедрова__6-2.webp;Памятник Ленину (улица Кедрова 6);Vanber;https://yandex.ru/maps/-/CPth72pw
104;улица_Крупской-1.webp;Памятник Ленину (улица Крупской);Рубен Макаров;https://yandex.ru/maps/-/CPtlAMLr
105;улица_Крупской-2.webp;Памятник Ленину (улица Крупской);Рубен Макаров;https://yandex.ru/maps/-/CPtlAMLr
106;улица_Люблинская__48-1.webp;Памятник Ленину (улица Люблинская 48);Яндекс;https://yandex.ru/maps/-/CPtlA4-0
108;улица_Мантулинская__5-1.webp;Памятник Ленину (улица Мантулинская 5);Сергей Ханжин;https://yandex.ru/maps/-/CPtlAV4R
109;улица_Мантулинская__5-2.webp;Памятник Ленину (улица Мантулинская 5);Сергей Ханжин;https://yandex.ru/maps/-/CPtlAV4R
110;улица_Народного_Ополчения__33-1.webp;Памятник Ленину (улица Народного Ополчения 33);eva johnson;https://yandex.ru/maps/-/CPtlAGnv
111;улица_Новозаводская__27-1.webp;Памятник Ленину (улица Новозаводская 27);Юрий Kuzmin_seo;https://yandex.ru/maps/-/CPtlAOOZ
112;улица_Новозаводская__27-2.webp;Памятник Ленину (улица Новозаводская 27);Яндекс Карты;https://yandex.ru/maps/-/CPtlAWNW
113;улица_Павловская-1.webp;Памятник Ленину (улица Павловская);Павел Г.;https://yandex.ru/maps/-/CPtlA8~U
114;улица_Павловская-2.webp;Памятник Ленину (улица Павловская);Юрий московский;https://yandex.ru/maps/-/CPtlAHnn
115;Ул_Юных_Ленинцев__52__стр_2__Москва-1.webp;Памятник Ленину (Юных Ленинцев 52);um.mos.ru;https://yandex.ru/maps/-/CPtlATNf
116;Ул_Юных_Ленинцев__52__стр_2__Москва-2.webp;Памятник Ленину (Юных Ленинцев 52);um.mos.ru;https://yandex.ru/maps/-/CPtlATNf
117;парк_Кузьминки-Люблино-1.webp;парк Кузьминки-Люблино, институт;Таня Ша;https://yandex.ru/maps/-/CPtlEAyy
118;парк_Кузьминки-Люблино-2.webp;парк Кузьминки-Люблино, институт;Таня Ша;https://yandex.ru/maps/-/CPtlEAyy
119;Москва__Природно-исторический_парк_Косинский-1.webp;Москва Природно-исторический парк Косинский;Олег К.;https://yandex.ru/maps/-/CPtlEQoU
120;Москва__Природно-исторический_парк_Косинский-2.webp;Москва Природно-исторический парк Косинский;Анатолий Федотов;https://yandex.ru/maps/-/CPtlE4In
121;Москва__аллея_Большого_Круга-1.webp;Москва аллея Большого Круга;Leonid M.;https://yandex.ru/maps/-/CPtlEBpW
122;Москва__аллея_Большого_Круга-2.webp;Москва аллея Большого Круга;Логан Петр;https://yandex.ru/maps/-/CPtlENYy
123;Москва__Центральный_административный_округ__Красносельский_район-1.webp;Москва Центральный административный округ Красносельский район;‘bäR;https://yandex.ru/maps/-/CPtlEV1f
124;Москва__Центральный_административный_округ__Красносельский_район-2.webp;Москва Центральный административный округ Красносельский район;‘bäR;https://yandex.ru/maps/-/CPtlEV1f
125;Москва__Восточный_административный_округ__район_Соколиная_Гора-1.webp;Москва Восточный административный округ район Соколиная Гора;‘bäR;https://yandex.ru/maps/-/CPtlEG8L
126;Москва__Восточный_административный_округ__район_Соколиная_Гора-2.webp;Москва Восточный административный округ район Соколиная Гора;‘bäR;https://yandex.ru/maps/-/CPtlEO2J
127;Переведеновский_пер__13__стр__6__Москва-1.webp;Переведеновский пер 13 стр 6 Москва;Andrey Chumarkov;https://yandex.ru/maps/-/CPtlEW~E
128;Переведеновский_пер__13__стр__6__Москва-2.webp;Переведеновский пер 13 стр 6 Москва;‘bäR;https://yandex.ru/maps/-/CPtlE8-H
130;Москва__парк_Сокольники-1.webp;Москва парк Сокольники;Яндекс;https://yandex.ru/maps/-/CPtlEHlI
131;Москва  парк Сокольники Пилон-1.webp;Памятник-пилон В.И. Ленину ;Алексей Б ;https://yandex.ru/maps/-/CPtlJGif
132;Москва__Центральный_административный_округ__Красносельский_район-1.webp;Москва Центральный административный округ Красносельский район;‘bäR;https://yandex.ru/maps/-/CPtlEV1f
133;Москва__Центральный_административный_округ__Красносельский_район-2.webp;Москва Центральный административный округ Красносельский район;‘bäR;https://yandex.ru/maps/-/CPtlEV1f
134;Люблинская_ул_139__стр_1__Москва-1.webp;Люблинская ул 139 стр 1 Москва;Владимир aka VOV;https://yandex.ru/maps/-/CPtlIQ-k
135;Люблинская_ул_139__стр_1__Москва-2.webp;Люблинская ул 139 стр 1 Москва;Сергей Иванов;https://yandex.ru/maps/-/CPtlI4O9
136;Москва__Щербинка-1.webp;Москва Щербинка;Ольга Будаева;https://yandex.ru/maps/-/CPtlIFnr
137;Москва__Щербинка-2.webp;Москва Щербинка;Алексей Е.;https://yandex.ru/maps/-/CPtlIN9h
138;Молодёжная_ул_1__Щербинка-1.webp;Молодёжная ул 1 Щербинка;Nikkit;https://yandex.ru/maps/-/CPtlIZkn
139;Молодёжная_ул_1__Щербинка-2.webp;Молодёжная ул 1 Щербинка;Алексей Е.;https://yandex.ru/maps/-/CPtlICPB
140;Международная_улица__37с1-1.webp;Бюст у Москва товарная;Дэн;https://yandex.ru/maps/-/CPtlIO6g
141;3-й проезд Марьиной Рощи 40.jpg;3-ий проезд Марьиной Рощи ;kudinov_dm ;https://flic.kr/p/epfLfv
142;Бережковская набережная 20-1.jpg;Ленин ;juan ;https://juan.livejournal.com/621089.html
143;Бережковская набережная 20-2.jpg;Ленин ;juan ;https://juan.livejournal.com/621089.html
144;МАИ (Волоколамское шоссе 4).jpg;12. Волоколамское шоссе, 4к3. Московский авиационный институт ;evge_chesnokov ;https://evge-chesnokov.livejournal.com/922676.html
145;Кропоткинская пожарная часть (Улица Пречистенка 22)-1.jpg;54. Улица Пречистенка, 22. Кропоткинская пожарная часть, УПО ГУВД Мосгорисполкома;evge_chesnokov ;https://evge-chesnokov.livejournal.com/922676.html
146;Кропоткинская пожарная часть (Улица Пречистенка 22)-2.jpg;Бюст В.И. Ленина;Mylene Sh ;https://2gis.ru/moscow/gallery/geo/70030076453326438/photoId/30258560182233447
147;Бюст на Даче Вучетича (Тимирязевская улица 33с4).jpg;Тимирязевская улица (музей Вучетича) ;webcaretele2@gmail.com;http://leninstatues.ru/photo/10274/timiryazevskaya-ulica-muzey-vucheticha
148;Академика Скрябина 23.jpg;41. Улица Академика Скрябина, 23. Московская ветеринарная академия ;evge_chesnokov ;https://evge-chesnokov.livejournal.com/922676.html
